Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
strawberries,Strawberries,"<p>The heart-shaped silhouette of the strawberry is the first clue that this fruit is good for you. These potent little packages protect your heart, increase HDL (good) cholesterol, lower your blood pressure, and guard against cancer.</p>
<h2>[Nutritional value]</h2>
<p><span>Energy | 33 kcal, </span><span>Carbohydrates |8 g, </span><span>Fat | 0.3 g</span><span>, Protein</span><span> | 0.7 </span>g</p>
<ul></ul>
<p><span>Vitamins:a,</span>c,e,b9</p>
<p>Minerals:Mg,Fe,Mn</p>",foodly-store,Harvest 2016,"",true,Title,Default Title,,,,,"",454,,1,deny,manual,2.85,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/strawberries.jpg?v=1473489009,1,,false,,,,,,,,,,,,,,,,,lb,
lime,Lime,"<p>Wonderful for bringing out the flavor of other foods, limes, while similar to lemons, have their own distinctive citrus flavor. Lime juice even has more acid and natural sugar content than its close cousin lemon juice. While some limes, known as sweet limes, contain little citric acid, the tart variety will give you the most nutritional bang for your buck.</p>
<h2>[Nutritional value]</h2>
<p><span>Energy | 30 kcal, </span><span>Carbohydrates |11 g, </span><span>Fat | 0.2 g</span><span>, Protein</span><span> | 0.7 </span>g</p>
<ul></ul>
<p><span>Vitamins:a</span>,c</p>
<p>Minerals:Ca,Mg,P</p>",foodly-store,Harvest 2016,"",true,Title,Default Title,,,,,"",1000,,1,deny,manual,6.00,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/lime.jpg?v=1473488514,1,,false,,,,,,,,,,,,,,,,,kg,
chives,Chives,"<p>Sweet, mild-onion flavored chives are fresh top greens in the onion family of bulb vegetables. Its stiff, hollow, tubular leaves appear similar to that of onions, but smaller in diameter, and appear somewhat like grass from a distance.</p>
<h2>[Nutritional value]</h2>
<p><span>Energy | 20 kcal, </span><span>Carbohydrates |4 g, </span><span>Fat | 0 g</span><span>, Protein</span><span> | 2 </span>g</p>
<ul></ul>
<p><span>Vitamins:a</span>,b3,b5,b9,c,e,k</p>
<p>Minerals:Ca,Mg,K,P</p>",foodly-store,Harvest 2016,"",true,Title,Default Title,,,,,"",20,,1,deny,manual,2.98,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/chives.jpg?v=1473488140,1,,false,,,,,,,,,,,,,,,,,g,
beetroot,Beetroot,"<p>Belonging to the same family as chard and spinach, both the leaves and root can be eaten - the leaves have a bitter taste whereas the round root is sweet. Typically a rich purple colour, beetroot can also be white or golden. Due to its high sugar content, beetroot is delicious eaten raw but is more typically cooked or pickled.</p>
<h2>[Nutritional value]</h2>
<p><span>Energy | 43 kcal, </span><span>Carbohydrates |10 g, </span><span>Fat | 0.2 g</span><span>, Protein</span><span> | 1.6 </span>g</p>
<ul></ul>
<p><span>Vitamins:a</span>,b9,b3,c,d</p>
<p>Minerals:Na,Ca,Mg,P,K</p>",foodly-store,Harvest 2016,"",true,Title,Default Title,,,,,"",1000,,1,deny,manual,2.95,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/beetroot.jpg?v=1473487746,1,,false,,,,,,,,,,,,,,,,,kg,
broccoli,Broccoli,"<p>Broccoli belongs to the cruciferous vegetable family, which includes kale, cauliflower, Brussels sprouts, bok choy, cabbage, collard greens, rutabaga and turnips. These nutrition powerhouses supply loads of nutrients for little calories.</p>
<h2>[Nutritional value]</h2>
<p><span>Energy | 34 kcal, </span><span>Carbohydrates |7 g, </span><span>Fat | 0.4 g</span><span>, Protein</span><span> | 2.8 </span>g</p>
<ul></ul>
<p><span>Vitamins:a</span>,b6,b12c,d</p>
<p>Minerals:Ca,Mg,Fe</p>",foodly-store,Harvest 2016,"",true,Title,Default Title,,,,,"",454,,1,deny,manual,1.80,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/broccoli.jpg?v=1473487386,1,,false,,,,,,,,,,,,,,,,,lb,
asparagus,Asparagus,"<p>Asparagus is a nutrient-dense food that is high in folic acid and is also a good source of potassium, fiber, vitamin B6, vitamins A and vitamin C, and thiamine. Extensive research into asparagus nutrition has resulted in this funny-looking vegetable being ranked among the top fruits and vegetables for its ability to reduce the effect of cell-damaging free radicals.</p>
<h2>[Nutritional value]</h2>
<p><span>Energy | 20 kcal, </span><span>Carbohydrates |4 g, </span><span>Fat | 0 g</span><span>, Protein</span><span> | 2 </span>g</p>
<ul></ul>
<p><span>Vitamins:a</span>,b1,b2,b3,b6,c,k</p>
<p>Minerals:Ca,Mg</p>",foodly-store,Harvest 2016,"",true,Title,Default Title,,,,,"",454,,1,deny,manual,2.00,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/asparagus.jpg?v=1473487320,1,,false,,,,,,,,,,,,,,,,,lb,
onions,Red Onions,"<p>Red onions are probably the best option to use in your salads or to be eaten raw because of its light sweeter taste and particular aroma. This particular onion cultivar is very high in flavonoids which are very useful for the health. We recommend Red onions to be used as a constituent of salad, sandwich and especially burger to enrich its succulence.</p>
<meta charset=""utf-8"">
<h2>[Nutritional value]</h2>
<p><span>Energy | 40 kcal, </span><span>Carbohydrates |9.34 g, </span><span>Fat | 0.1 g</span></p>
<ul></ul>
<p><span>Vitamins:</span>b1,b2,b5,b6,b9,c</p>
<p>Minerals:Ca,Fr,Mg,Mn,P,K,Zn</p>",Foodly,Harvest 2014,"dried, fall, harvest 2014, onion, red, spring, summer, vegetables, vitamin C, winter",true,Title,Default Title,,,,,FS002,1000,shopify,23,deny,manual,1.55,,true,false,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Red-onions.jpeg?v=1456211183,1,,false,,,,,,,,,,,,,,,,,kg,
onions,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-onions-close-up.jpeg?v=1456211183,2,,,,,,,,,,,,,,,,,,,,
onions,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-onions-from-above.jpeg?v=1456211183,3,,,,,,,,,,,,,,,,,,,,
spinach,Spinach,"<p><span>Calorie for calorie, leafy green vegetables like spinach with its delicate texture and jade green color provide more nutrients than any other food. Although spinach is available throughout the year, its season runs from March through May and from September through October when it is the freshest, has the best flavor, and is most readily available. Spinach has the bitterness of beet greens and the slightly salty flavor of Swiss chard that makes them delicious as a soup basis or filing to a pie.</span></p>
<h2><span>[Nutritional value]</span></h2>
<p>Energy | 23 kcal, Carbohydrates | 2.9 g, Fat | 0.4 g, Dietary fiber | 2.2 g,</p>
<ul></ul>
<p>Vitamins:a,b2,b6,b9,c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,P,K,Zn</p>",Foodly,Harvest 2015,"condiments, dried, spinach",true,Dimension,Bunch,,,,,FS003,0,shopify,9,deny,manual,4.25,6.90,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Spinach-front.jpeg?v=1456211174,1,,false,,,,,,,,,,,,,,,,,kg,
spinach,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Spinach-above.jpeg?v=1456211174,2,,,,,,,,,,,,,,,,,,,,
spinach,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Spinach.jpeg?v=1456211174,3,,,,,,,,,,,,,,,,,,,,
empire-apples,Empire Apples,"<p>Empire apples are red, juicy, firm, crunchy and sweet. We have already been gathering them during September and October for fourteen years. This delicious apple cultivar will be in good usable conditions until January. Empire apples are excellent for eating and salads, and good for sauce, baking, pies and freezing. We root for these apples as an ideal lunch-box apple, not least because it does not bruise easily.</p>
<meta charset=""utf-8"">
<h2>[Nutritional value]</h2>
<p><span>Energy | 52 kcal, </span><span>Carbohydrates |13.81 g, </span><span>Fat | 0.17 g</span></p>
<ul></ul>
<p><span>Vitamins:a,</span>b1,b2,b3,b5,b6,b9,c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,P</p>",Foodly,Harvest 2015,"apple, baking, fresh, fruit, harvest 2015, lunch box, red, salad, winter",true,Title,Default Title,,,,,FS005,1000,shopify,50,deny,manual,2.89,,true,false,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Empire-Apple.jpeg?v=1456211165,1,,false,,,,,,,,,,,,,,,,,kg,
empire-apples,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Apple-cuts.jpeg?v=1456211165,2,,,,,,,,,,,,,,,,,,,,
empire-apples,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Apples-horizontal.jpeg?v=1456211165,3,,,,,,,,,,,,,,,,,,,,
thompson-seedless-grapes,Thompson Seedless Grapes,"<p><span>Thompson seedless grapes are one of the world's most popular eating grapes. It has a perfect refreshing sweet taste. What's the best of it that they can be a dessert itself or used in some sort of fruit salad seasoned with any condiment or juice.  </span></p>
<h2>[Nutritional value]</h2>
<p>Energy | 39 kcal, Carbohydrates |10 g, Fat | 0.1 g, Protein | 0.5g</p>
<ul></ul>
<p>Vitamins:a,b1,b2,b3,b5,b6,c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,P,Zn</p>",Foodly,Harvest 2015,"fruit, grapes, harvest 2015, liquid",true,Title,Default Title,,,,,FS006,1000,shopify,12,deny,manual,6.05,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Thompson-Seedless-Grape.jpeg?v=1456211160,1,,false,,,,,,,,,,,,,,,,,kg,
thompson-seedless-grapes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Thompson-Seedless-Grape-close-up.jpeg?v=1456211160,2,,,,,,,,,,,,,,,,,,,,
winter-pumpkin,Winter Pumpkin,"<meta charset=""utf-8"">
<p><span>Winter pumpkins are a delicious addition to your cold season meal. Choose red or green compact versions of this special cultivar to cook <em>Heaven-and-Earth Tempura Cakes</em> or <em>Pumpkin Puree with Ginger</em>. Its distinctive bottom with a circular ridge, though, gives it away. On some, the ridge may surround a more pronounced bump, or ""turban."" A freshly cut buttercup may smell like a clean, fragrant cucumber, but once cooked, its orange flesh becomes dense, a bit dry, and very mild. </span></p>
<meta charset=""utf-8"">
<h2>[Nutritional value]</h2>
<p><span>Energy | 26 kcal, </span><span>Carbohydrates |6.5 g, </span><span>Fat | 0.1 g</span></p>
<ul></ul>
<p><span>Vitamins:a</span>,b1,b2,b3,b5,b6,b9c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,P,K,Zn</p>",Foodly,Harvest 2014,"harvest 2014, liquid, pumpkin, vegetables",true,Title,Default Title,,,,,FS009,1000,shopify,77,deny,manual,3.29,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Pumpkins-_horizontal.jpeg?v=1456211157,1,,false,,,,,,,,,,,,,,,,,kg,
winter-pumpkin,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Pumpkins.jpeg?v=1456211157,2,,,,,,,,,,,,,,,,,,,,
winter-pumpkin,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Pumpkins-behind-grens.jpeg?v=1456211157,3,,,,,,,,,,,,,,,,,,,,
raspberries,Raspberries,"<p>We started growing raspberries in 90’s on our family farm near Cupar. Our cultivar has exeptional sweet taste with astringent flavor. These individually gathered berries are a wonderful taste of summer in your everyday meal. Raspberries are perfect in smoothies, baking, on pancakes or just plain old snacking out of the bag!  Enjoy!</p>
<h2>[Nutritional value]</h2>
<span style=""line-height: 1.4;"">Energy | 53 kcal, </span><span style=""line-height: 1.4;"">Carbohydrates |11.94 g, </span><span style=""line-height: 1.4;"">Fat | 0.65 g</span><br>
<ul></ul>
<p><span style=""line-height: 21px;"">Vitamins:</span>b1,b2,b3,b5,b6,b9,c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,P,K,Zn</p>",Foodly,Harvest 2015,"frozen, fruit, harvest 2015, raspberries, red",true,Dimension,Pint,,,,,FS010,0,shopify,30,deny,manual,10.98,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/raspberries.jpeg?v=1456211149,1,,false,,,,,,,,,,,,,,,,,kg,
raspberries,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/raspberries-2.jpeg?v=1456211149,2,,,,,,,,,,,,,,,,,,,,
raspberries,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/raspberries-pie.jpeg?v=1456211149,3,,,,,,,,,,,,,,,,,,,,
tomatoes,Campari Tomatoes,"<p>Campari is a type of tomato, noted for its juiciness, high sugar level, low acidity, and lack of mealiness. Camparis are deep red and larger than a cherry tomato, but smaller and rounder than a plum tomato. This tomatoes variety is a handy ingredient in your kitchen as it can be nourished raw, salads, snacks and other cooking.</p>
<pre>[Nutritional value]
Energy|18Kcal, Carbohydrates|3.9g, Protein|0.9g, Total Fat|0.2g, Dietary Fiber|1.2g
Vitamins:a,c,e,k
Minerals:Ca,Zn,Ma,P,Mn</pre>",Foodly,Harvest 2015,"liquid, red, sale, tomatoes, vegetables",true,Title,Default Title,,,,,FS0111,1000,shopify,50,deny,manual,11.00,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Campari-Tomatoes.jpeg?v=1456211143,1,,false,,,,,,,,,,,,,,,,,kg,
tomatoes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Campari-Tomatoes-closer_b2dc02f3-fb47-4ed9-b818-37c7660f3a30.jpeg?v=1456211143,2,,,,,,,,,,,,,,,,,,,,
red-european-plums,Red European Plums,"<p>European plum is an ancient domesticated species, known only in cultivation, now cultivated in temperate areas worldwide and our farm is not an exception. This particular plum cultivar differs from others with globose and large enough form. They are very juicy and especially suitable for salads or other quick desserts. European plum has a firm and succulent flesh full of antioxidants.</p>
<meta charset=""utf-8"">
<h2>[Nutritional value]</h2>
<p><span>Energy | 46 kcal, </span><span>Carbohydrates |11.42 g, </span><span>Fat | 0.28 g</span><span>, Protein</span><span> | 0.7</span>g</p>
<ul></ul>
<p><span>Vitamins:a</span>,b1,b2,b3,b5,b6,c,e,k</p>
<p>Minerals:Ca,Fr,Mg,Mn,P,Zn</p>",Foodly,Harvest 2015,"fresh, fruit, harvest 2015, red, Red European Plums",true,Dimension,Unit,,,,,SK70990,0,shopify,17,deny,manual,1.32,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Red-plums-perspective.jpeg?v=1456211139,1,,false,,,,,,,,,,,,,,,,,kg,
red-european-plums,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-plum-close-up.jpeg?v=1456211139,2,,,,,,,,,,,,,,,,,,,,
red-european-plums,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Red-plums-front.jpeg?v=1456211139,3,,,,,,,,,,,,,,,,,,,,
peaches,Peaches,"<p>Our peaches are extremely sweet to the taste with soft and thin skin. This particular cultivar is low-acid and white-fleshed that makes it a perfect candidate for the fresh desserts due to the juicy taste and entrancing aroma.</p>
<meta charset=""utf-8"">
<h2>[Nutritional value]</h2>
<p><span>Energy | 39 kcal, </span><span>Carbohydrates |9.54 g, </span><span>Fat | 0.25 g, </span>Protein| 0.91g</p>
<ul></ul>
<p><span>Vitamins:a,</span>b1,b2,b3,b5,b6,c,e,k</p>
<p>Minerals:Fr,Mg,Mn,P,K,Z</p>",Foodly,Harvest 2015,"frozen, fruit, peaches",true,Title,Default Title,,,,,FS012,1000,shopify,18,deny,manual,5.99,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Peaches-in-the-pot.jpeg?v=1456211131,1,,false,,,,,,,,,,,,,,,,,kg,
peaches,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/peaches.jpeg?v=1456211131,2,,,,,,,,,,,,,,,,,,,,
peaches,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Peaches-cut-off.jpeg?v=1456211131,3,,,,,,,,,,,,,,,,,,,,
radishes,Radishes,"<p>Our radishes are crisp enough and feels refreshening <span>pungent that makes them perfect</span><span> for salads, but they also may appear in many other dishes. </span><span>Radish leaves are sometimes used in spicy recipes, like potato soup or as a sauteed side dish. You can also find them as a blended constituent with fruit juices in some piquant recipes.</span></p>
<h2>[Nutritional value]</h2>
<p>Energy | 16 kcal, Carbohydrates |3.4 g, Fat | 0.1 g, Protein| 0.68g</p>
<ul></ul>
<p>Vitamins:b2,b5,b6,b9,c,</p>
<p>Minerals:K,Fr,Mg,Mn,P,Ca,Z</p>",Foodly,Harvest 2015,"frozen, harvest 2015, radishes, vegetables",true,Dimension,Bunch,,,,,FS013,0,shopify,0,deny,manual,2.49,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Radishes.jpeg?v=1456211127,1,,false,,,,,,,,,,,,,,,,,kg,
radishes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Radishes-side-close-up.jpeg?v=1456211127,2,,,,,,,,,,,,,,,,,,,,
radishes,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Radishes-rightside.jpeg?v=1456211127,3,,,,,,,,,,,,,,,,,,,,
basil,Basil,"<p>Basil is a well-known name for the culinary herb. Would like to make your pizza or salad smell and taste differently and intriguing, basil will manage this task. This is a </p>
<p><span><span><span>""king of herbs"" by many cookery authors, so don't pass by and join the </span></span></span></p>
<p><span><span><span>credible</span> community. Basil is most commonly used fresh in cooked recipes. In general, it is added at the last moment, as cooking quickly destroys the flavor.</span></span></p>
<h1>[Nutritional value]</h1>
<p>Energy|22Kcal, Carbohydrates|2.65g, Protein|3.15g, Total Fat|0.64g, Dietary Fiber|1.6g</p>
<p>Vitamins:a,b2,b3,b6,b9,c,k</p>
<p>Minerals:Ca,Fe,Zn,Mg,P,Mn</p>",Foodly,Harvest 2015,"basil, dried, green, harvest 2015, herbals",true,Dimension,Bunch,,,,,FS014,0,shopify,5,deny,manual,2.29,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/Basil.jpeg?v=1456211118,1,,false,,,,,,,,,,,,,,,,,kg,
basil,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Basil-close-up.jpeg?v=1456211118,2,,,,,,,,,,,,,,,,,,,,
basil,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1148/3974/products/Basil-side-pic.jpeg?v=1456211118,3,,,,,,,,,,,,,,,,,,,,
